season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,Wallace-Dothan,wallacecommunitycollegedothan,373,30.0,25.0,5.0,7.0,0.811,206.0,114.0,100.0,0.877,142.71,99.0
2024,2023-24,Wallace-Selma,wallacecommunitycollegeselma,480,35.0,15.0,18.0,3.0,0.917,233.0,178.0,126.0,0.708,135.98,101.0
2024,2023-24,Walters State,waltersstatecommunitycollege,492,30.0,22.0,8.0,1.0,0.968,150.0,113.0,80.0,0.708,141.31,102.0
2024,2023-24,Waubonsee,waubonseecommunitycollege,186,2.0,8.0,5.0,1.0,0.929,87.0,91.0,73.0,0.802,99.38,96.0
2024,2023-24,Weatherford,weatherfordcollege,411,31.0,26.0,6.0,12.0,0.727,204.0,110.0,86.0,0.782,166.45,103.0
2024,2023-24,Westchester,westchestercommunitycollege,205,16.0,8.0,6.0,2.0,0.875,133.0,108.0,76.0,0.704,86.46,75.0
2024,2023-24,Western Nebraska,westernnebraskacommunitycollege,330,27.0,10.0,16.0,0.0,1.0,212.0,185.0,145.0,0.784,142.6,100.0
2024,2023-24,Western Oklahoma State,westernoklahomastatecollege,377,4.0,10.0,7.0,1.0,0.944,197.0,149.0,124.0,0.832,173.48,91.0
2024,2023-24,Western Tech,westerntechnicalcollege,89,8.0,0.0,3.0,0.0,1.0,52.0,52.0,44.0,0.846,24.169999999999998,23.0
2024,2023-24,Western Texas,westerntexascollege,378,0.0,10.0,17.0,6.0,0.818,306.0,238.0,191.0,0.803,286.46,121.0
2024,2023-24,Westmoreland,westmorelandcountycc,192,2.0,3.0,11.0,0.0,1.0,112.0,106.0,84.0,0.792,101.51,69.0
2024,2023-24,Wharton County,whartoncountyjuniorcollege,472,30.0,18.0,9.0,5.0,0.844,221.0,140.0,112.0,0.8,175.84,102.0
2024,2023-24,Williston State,willistonstatecollege,348,24.0,17.0,6.0,2.0,0.92,124.0,86.0,80.0,0.93,109.42,86.0
2024,2023-24,Yavapai,yavapaicollege,523,32.0,16.0,17.0,3.0,0.917,297.0,270.0,231.0,0.856,331.93,174.0
